pair_id	rows	cols	config
111669149742	0	2	0
109521666095	0	2	0
107374182448	0	2	0
98784247860	0	2	0
96636764213	0	2	0
94489280566	0	2	0
92341796919	0	2	0
90194313272	0	2	0
88046829625	0	2	0
85899345978	0	2	0
85899345975	0	2	0
83751862331	0	2	0
81604378684	0	2	0
79456895037	0	2	0
77309411390	0	2	0
77309411389	0	2	0
77309411387	0	2	0
75161927743	0	2	0
73014444096	0	2	0
73014444095	0	2	0
73014444093	0	2	0
70866960449	0	2	0
68719476802	0	2	0
68719476801	0	2	0
66571993155	0	2	0
66571993154	0	2	0
66571993153	0	2	0
66571993147	0	2	0
64424509508	0	2	0
64424509507	0	2	0
64424509505	0	2	0
62277025861	0	2	0
62277025858	0	2	0
62277025853	0	2	0
62277025852	0	2	0
60129542214	0	2	0
60129542213	0	2	0
60129542212	0	2	0
60129542207	0	2	0
60129542205	0	2	0
57982058567	0	2	0
57982058566	0	2	0
55834574920	0	2	0
55834574919	0	2	0
55834574918	0	2	0
55834574917	0	2	0
55834574911	0	2	0
53687091273	0	2	0
53687091267	0	2	0
53687091265	0	2	0
53687091261	0	2	0
51539607626	0	2	0
51539607624	0	2	0
51539607623	0	2	0
49392123979	0	2	0
49392123966	0	2	0
47244640332	0	2	0
47244640331	0	2	0
47244640330	0	2	0
47244640329	0	2	0
47244640319	0	2	0
45097156685	0	2	0
45097156684	0	2	0
45097156683	0	2	0
45097156682	0	2	0
45097156679	0	2	0
45097156678	0	2	0
45097156673	0	2	0
45097156672	0	2	0
42949673037	0	2	0
42949673036	0	2	0
42949673034	0	2	0
42949673032	0	2	0
42949673030	0	2	0
42949673029	0	2	0
42949673028	0	2	0
42949673026	0	2	0
42949673025	0	2	0
42949673021	0	2	0
42949673019	0	2	0
40802189391	0	2	0
40802189390	0	2	0
40802189389	0	2	0
40802189385	0	2	0
40802189379	0	2	0
38654705743	0	2	0
38654705742	0	2	0
38654705741	0	2	0
38654705740	0	2	0
38654705738	0	2	0
38654705736	0	2	0
38654705735	0	2	0
38654705734	0	2	0
38654705733	0	2	0
38654705732	0	2	0
38654705730	0	2	0
38654705728	0	2	0
38654705727	0	2	0
36507222096	0	2	0
36507222094	0	2	0
36507222093	0	2	0
36507222091	0	2	0
36507222090	0	2	0
36507222089	0	2	0
36507222088	0	2	0
36507222087	0	2	0
36507222085	0	2	0
36507222084	0	2	0
36507222083	0	2	0
36507222082	0	2	0
36507222081	0	2	0
36507222080	0	2	0
36507222079	0	2	0
36507222078	0	2	0
36507222077	0	2	0
36507222076	0	2	0
36507222075	0	2	0
36507222074	0	2	0
36507222072	0	2	0
36507222070	0	2	0
34359738447	0	2	0
34359738446	0	2	0
34359738444	0	2	0
34359738443	0	2	0
34359738442	0	2	0
34359738441	0	2	0
34359738440	0	2	0
34359738439	0	2	0
34359738438	0	2	0
